City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Verkhnyaya Inta,RU,2022-08-10 20:03:16,65.9811,60.3094,49.26,68,87,8.25
122,Khatanga,RU,2022-08-10 20:03:16,71.9667,102.5,44.37,74,100,12.37
123,Clyde River,CA,2022-08-10 20:03:18,70.4692,-68.5914,42.91,70,99,4.88
124,Saldanha,ZA,2022-08-10 20:03:20,-33.0117,17.9442,56.48,92,100,2.95
125,Muzaffarnagar,IN,2022-08-10 20:03:21,29.4667,77.6833,79.3,85,96,7.7
126,Kenora,CA,2022-08-10 20:03:21,49.8167,-94.4337,74.79,33,2,9.73
127,Sioux Lookout,CA,2022-08-10 20:03:22,50.1001,-91.917,65.75,48,99,9.91
128,Muncar,ID,2022-08-10 20:03:22,-8.4333,114.3333,74.14,94,38,0.43
129,East London,ZA,2022-08-10 20:02:30,-33.0153,27.9116,62.58,76,63,4.72
130,Zhigansk,RU,2022-08-10 20:03:23,66.7697,123.3711,56.55,81,100,8.25
131,Araouane,ML,2022-08-10 20:03:23,18.9048,-3.5265,99.88,25,6,9.04
132,Port-Gentil,GA,2022-08-10 19:59:00,-0.7193,8.7815,75.16,83,100,11.5
133,Constitucion,CL,2022-08-10 20:02:10,-35.3333,-72.4167,55.17,66,0,12.26
134,Chuy,UY,2022-08-10 20:03:25,-33.6971,-53.4616,53.31,74,0,5.99
135,Rosetown,CA,2022-08-10 20:00:54,51.5501,-108.0014,81.7,27,100,15.46
136,Yulara,AU,2022-08-10 20:03:27,-25.2406,130.9889,51.75,49,100,4.38
137,Soma,TR,2022-08-10 20:03:27,39.1855,27.6094,71.91,81,7,10.38
138,Makoshyne,UA,2022-08-10 20:03:28,51.46,32.3396,61.7,89,100,10.92
139,Bethel,US,2022-08-10 20:01:13,41.3712,-73.414,87.37,55,3,4.81
140,Piacabucu,BR,2022-08-10 20:04:30,-10.4056,-36.4344,75.42,79,2,5.14
141,Guerrero Negro,MX,2022-08-10 20:04:32,27.9769,-114.0611,84.65,50,54,14.79
142,Ahipara,NZ,2022-08-10 20:04:32,-35.1667,173.1667,49.93,85,89,7.54
143,Auki,SB,2022-08-10 20:04:33,-8.7676,160.7034,76.42,89,57,3.94
144,Chapais,CA,2022-08-10 20:04:33,49.7834,-74.8492,78.62,36,24,13.67
145,Ula,IN,2022-08-10 20:04:34,22.7225,88.5556,78.78,89,100,0.0
146,Skara,SE,2022-08-10 20:04:34,58.3866,13.4384,64.74,81,99,5.01
147,Herat,AF,2022-08-10 20:04:35,34.5,62.0,72.41,21,0,31.18
148,Aljezur,PT,2022-08-10 20:04:35,37.3191,-8.8033,64.62,88,0,5.37
149,Newport,GB,2022-08-10 20:01:56,51.5877,-2.9984,80.71,50,8,7.85
150,Chon Daen,TH,2022-08-10 20:04:36,16.1895,100.8596,75.97,94,100,3.29
151,Ust-Omchug,RU,2022-08-10 20:04:37,61.15,149.6333,53.04,95,100,1.68
152,Biak,ID,2022-08-10 20:04:37,-0.9131,122.8766,75.34,89,100,7.25
153,Thompson,CA,2022-08-10 20:04:38,55.7435,-97.8558,72.79,31,14,6.2
154,Diego De Almagro,CL,2022-08-10 20:04:38,-26.3667,-70.05,77.27,11,3,6.64
155,Cockburn Town,TC,2022-08-10 20:04:39,21.4612,-71.1419,80.56,83,40,12.66
156,Olga,RU,2022-08-10 20:04:40,43.7444,135.2892,65.68,69,100,4.05
157,Egvekinot,RU,2022-08-10 20:04:42,66.3167,-179.1667,57.0,72,0,3.27
158,Darhan,MN,2022-08-10 20:04:42,49.4867,105.9228,58.86,93,100,1.68
159,Maragogi,BR,2022-08-10 20:04:43,-9.0122,-35.2225,75.2,76,2,5.28
160,Geraldton,AU,2022-08-10 20:04:44,-28.7667,114.6,41.41,93,0,6.91
161,Houma,US,2022-08-10 20:04:44,29.5958,-90.7195,86.0,79,0,8.05
162,Coihueco,CL,2022-08-10 20:04:45,-36.6167,-71.8333,54.34,62,0,4.61
163,Cidreira,BR,2022-08-10 20:04:45,-30.1811,-50.2056,60.37,68,5,9.26
164,Dharchula,IN,2022-08-10 20:04:45,29.85,80.5333,73.42,97,100,1.59
165,Basco,PH,2022-08-10 20:04:46,20.4487,121.9702,83.19,73,99,4.05
166,Parrita,CR,2022-08-10 20:04:47,9.5201,-84.3225,82.42,78,99,6.24
167,Hualmay,PE,2022-08-10 20:04:47,-11.0964,-77.6139,66.43,69,17,9.57
168,Maniitsoq,GL,2022-08-10 20:04:48,65.4167,-52.9,42.91,89,100,2.04
169,Lorengau,PG,2022-08-10 20:04:48,-2.0226,147.2712,80.42,81,100,8.46
170,Mrakovo,RU,2022-08-10 20:04:49,52.7161,56.6244,66.15,62,48,3.8
171,Kalemie,CD,2022-08-10 20:04:50,-5.9475,29.1947,72.01,53,59,2.28
172,Takoradi,GH,2022-08-10 20:04:51,4.8845,-1.7554,74.25,85,50,9.93
173,Constantine,DZ,2022-08-10 20:04:52,36.365,6.6147,81.81,41,0,10.36
174,Dedougou,BF,2022-08-10 20:04:53,12.4667,-3.4667,80.15,71,42,6.96
175,Matara,LK,2022-08-10 20:04:54,5.9485,80.5353,75.24,93,38,8.1
176,Bac Lieu,VN,2022-08-10 20:04:54,9.285,105.7244,80.15,81,100,11.83
177,Yellowknife,CA,2022-08-10 20:04:47,62.456,-114.3525,66.97,54,100,13.24
178,Castro,BR,2022-08-10 20:01:18,-24.7911,-50.0119,47.39,91,100,11.63
179,Mau,IN,2022-08-10 20:04:56,25.95,83.55,83.48,71,99,18.72
180,Sinnamary,GF,2022-08-10 20:04:57,5.3833,-52.95,82.99,76,27,9.86
181,Gympie,AU,2022-08-10 20:04:58,-26.1898,152.665,54.32,79,98,3.13
182,Nikolskoye,RU,2022-08-10 20:05:00,59.7035,30.7861,58.91,77,29,2.19
